gpuaddr,useraddr,size,id,flags,type,usage,sglen
0x8ca46000,0x8ca46000,4096,49762,----pY,gpumem,texture,1
0x8ca48000,0x8ca48000,4096,49761,----pY,gpumem,texture,1
0x8ca4a000,0x8ca4a000,4096,49760,----pY,gpumem,texture,1
0x8ca4c000,0x8ca4c000,4096,49759,----pY,gpumem,texture,1
0x8ca4e000,0x8ca4e000,4096,49758,----pY,gpumem,texture,1
0x8ca50000,0x8ca50000,4096,49757,----pY,gpumem,texture,1
0x8ca52000,0x8ca52000,4096,49756,----pY,gpumem,texture,1
0x8ca54000,0x8ca54000,4096,49755,----pY,gpumem,texture,1
0x8ca56000,0x8ca56000,4096,49754,----pY,gpumem,texture,1
0x8ca58000,0x8ca58000,4096,49753,----pY,gpumem,texture,1
0x8ca5a000,0x8ca5a000,4096,49752,----pY,gpumem,texture,1
0x8ca5c000,0x8ca5c000,4096,49751,----pY,gpumem,texture,1
0x8ca5e000,0x8ca5e000,4096,49750,----pY,gpumem,texture,1
0x8ca60000,0x8ca60000,4096,49749,----pY,gpumem,texture,1
0x8ca62000,0x8ca62000,4096,49748,----pY,gpumem,texture,1
0x8ca64000,0x8ca64000,4096,49747,----pY,gpumem,texture,1
0x8ca66000,0x8ca66000,4096,49746,----pY,gpumem,texture,1
0x8ca68000,0x8ca68000,4096,49745,----pY,gpumem,texture,1
0x8ca6a000,0x8ca6a000,4096,49744,----pY,gpumem,texture,1
0x8ca6c000,0x8ca6c000,4096,49743,----pY,gpumem,texture,1
0x8ca6e000,0x8ca6e000,4096,49742,----pY,gpumem,texture,1
0x8ca70000,0x8ca70000,4096,49741,----pY,gpumem,texture,1
0x8ca72000,0x8ca72000,4096,49740,----pY,gpumem,texture,1
0x8ca74000,0x8ca74000,4096,49739,----pY,gpumem,texture,1
0x8ca76000,0x8ca76000,4096,49738,----pY,gpumem,texture,1
0x8ca78000,0x8ca78000,4096,49737,----pY,gpumem,texture,1
